LOCALIDADE;CEP INICIAL
MAETINGA;46255000
MAIQUINIQUE;45770000
MAIRI;44630000
MALHADA;46440000
MALHADA DE PEDRAS;46110000
MANOEL VITORINO;45240000
MANSIDÃO;47160000
MARACÁS;45360000
MARAGOGIPE;44420000
MARAÚ;45520000
MARCIONÍLIO SOUZA;46780000
MASCOTE;45870000
MATA DE SÃO JOÃO;48280000
MATINA;46480000
MEDEIROS NETO;45960000
MIGUEL CALMON;44720000
MILAGRES;45315000
MIRANGABA;44745000
MIRANTE;45255000
MONTE SANTO;48800000
MORPARÁ;47580000
MORRO DO CHAPÉU;44850000
MORTUGABA;46290000
MUCUGÊ;46750000
MUCURI;45930000
MULUNGU DO MORRO;44885000
MUNDO NOVO;44800000
MUNIZ FERREIRA;44575000
MUQUÉM DE SÃO FRANCISCO;47115000
MURITIBA;44340000
MUTUÍPE;45480000
NAZARÉ;44400000
NILO PEÇANHA;45440000
NORDESTINA;48870000
NOVA CANAÃ;45270000
NOVA FÁTIMA;44642000
NOVA IBIÁ;45452000
NOVA ITARANA;45390000
NOVA REDENÇÃO;46835000
NOVA SOURE;48460000
NOVA VIÇOSA;45920000
NOVO HORIZONTE;46730000
NOVO TRIUNFO;48455000
OLINDINA;48470000
OLIVEIRA DOS BREJINHOS;47530000
OURIÇANGAS;48150000
OUROLÂNDIA;44718000
PALMAS DE MONTE ALTO;46460000
PALMEIRAS;46930000
PARAMIRIM;46190000
PARATINGA;47500000
PARIPIRANGA;48430000
PAU BRASIL;45890000
PAULO AFONSO;48600001
PÉ DE SERRA;44655000
PEDRÃO;48140000
PEDRO ALEXANDRE;48580000
PIATÃ;46765000
PILÃO ARCADO;47240000
PINDAÍ;46360000
PINDOBAÇU;44770000
PINTADAS;44610000
PIRAÍ DO NORTE;45436000
PIRIPÁ;46270000
PIRITIBA;44830000
PLANALTINO;45375000
PLANALTO;45190000
POÇÕES;45260000
POJUCA;48120000
PONTO NOVO;44755000
PORTO SEGURO;45810000
POTIRAGUÁ;45790000
PRADO;45980000
PRESIDENTE DUTRA;44930000
PRESIDENTE JÂNIO QUADROS;46250000
PRESIDENTE TANCREDO NEVES;45416000
QUEIMADAS;48860000
QUIJINGUE;48830000
QUIXABEIRA;44713000
RAFAEL JAMBEIRO;44520000
REMANSO;47200000
RETIROLÂNDIA;48750000
RIACHÃO DAS NEVES;47970000
RIACHÃO DO JACUÍPE;44640000
RIACHO DE SANTANA;46470000
RIBEIRA DO AMPARO;48440000
RIBEIRA DO POMBAL;48400000
RIBEIRÃO DO LARGO;45155000
RIO DE CONTAS;46170000
RIO DO ANTÔNIO;46220000
RIO DO PIRES;46550000
RIO REAL;48330000
RODELAS;48630000
RUY BARBOSA;46800000
SALINAS DA MARGARIDA;44450000
SALVADOR;40000001
SANTA BÁRBARA;44150000
SANTA BRÍGIDA;48570000
SANTA CRUZ CABRÁLIA;45807000
SANTA CRUZ DA VITÓRIA;45725000
SANTA INÊS;45320000
SANTA LUZIA;45865000
SANTA MARIA DA VITÓRIA;47640000
SANTA RITA DE CÁSSIA;47150000
SANTA TEREZINHA;44590000
SANTALUZ;48880000
SANTANA;47700000
SANTANÓPOLIS;44260000
SANTO AMARO;44200000
SANTO ANTÔNIO DE JESUS;44570001
SANTO ESTEVÃO;44190000
SÃO DESIDÉRIO;47820000
SÃO DOMINGOS;48895000
SÃO FELIPE;44550000
SÃO FÉLIX;44360000
SÃO FÉLIX DO CORIBE;47665000
SÃO FRANCISCO DO CONDE;43900000
SÃO GABRIEL;44915000
SÃO GONÇALO DOS CAMPOS;44330000
SÃO JOSÉ DA VITÓRIA;45620000
SÃO JOSÉ DO JACUÍPE;44698000
SÃO MIGUEL DAS MATAS;44580000
SÃO SEBASTIÃO DO PASSE;43850000
SAPEAÇU;44530000
SÁTIRO DIAS;48485000
SAUBARA;44220000
SAÚDE;44740000
SEABRA;46900000
SEBASTIÃO LARANJEIRAS;46450000
SENHOR DO BONFIM;48970000
SENTO SÉ;47350000
SERRA DO RAMALHO;47630000
