LOCALIDADE;CEP INICIAL
PEDRA DO ANTA;36585000
PEDRA DO INDAIÁ;35565000
PEDRA DOURADA;36847000
PEDRALVA;37520000
PEDRAS DE MARIA DA CRUZ;39492000
PEDRINÓPOLIS;38178000
PEDRO LEOPOLDO;33600000
PEDRO TEIXEIRA;36148000
PEQUERI;36610000
PEQUI;35667000
PERDIGÃO;35545000
PERDIZES;38170000
PERDÕES;37260000
PERIQUITO;35118000
PESCADOR;35114000
PIAU;36157000
PIEDADE DE CARATINGA;35325000
PIEDADE DE PONTE NOVA;35382000
PIEDADE DO RIO GRANDE;36227000
PIEDADE DOS GERAIS;35476000
PIMENTA;35585000
PINGOD'ÁGUA;35348000
PINTÓPOLIS;39317000
PIRACEMA;35536000
PIRAJUBA;38210000
PIRANGA;36480000
PIRANGUÇU;37511000
PIRANGUINHO;37508000
PIRAPETINGA;36730000
PIRAPORA;39270000
PIRAÚBA;36170000
PITANGUI;35650000
PIUMHI;37925000
PLANURA;38220000
POÇO FUNDO;37757000
POÇOS DE CALDAS;37700001
POCRANE;36960000
POMPÉU;35640000
PONTE NOVA;35430001
PONTO CHIQUE;39328000
PONTO DOS VOLANTES;39615000
PORTEIRINHA;39520000
PORTO FIRME;36576000
POTÉ;39827000
POUSO ALEGRE;37550000
POUSO ALTO;37468000
PRADOS;36320000
PRATA;38140000
PRATÁPOLIS;37970000
PRATINHA;38960000
PRESIDENTE BERNARDES;36475000
PRESIDENTE JUSCELINO;39245000
PRESIDENTE KUBITSCHEK;39135000
PRESIDENTE OLEGÁRIO;38750000
PRUDENTE DE MORAIS;35738000
QUARTEL GERAL;35625000
QUELUZITO;36424000
RAPOSOS;34400000
RAUL SOARES;35350000
RECREIO;36740000
REDUTO;36920000
RESENDE COSTA;36340000
RESPLENDOR;35230000
RESSAQUINHA;36270000
RIACHINHO;38640000
RIACHO DOS MACHADOS;39529000
RIBEIRÃO DAS NEVES;33800001
RIBEIRÃO VERMELHO;37264000
RIO ACIMA;34300000
RIO CASCA;35370000
RIO DO PRADO;39940000
RIO DOCE;35442000
RIO ESPERA;36460000
RIO MANSO;35485000
RIO NOVO;36150000
RIO PARANAÍBA;38810000
RIO PARDO DE MINAS;39530000
RIO PIRACICABA;35940000
RIO POMBA;36180000
RIO PRETO;36130000
RIO VERMELHO;39170000
RITÁPOLIS;36335000
ROCHEDO DE MINAS;36604000
RODEIRO;36510000
ROMARIA;38520000
ROSÁRIO DA LIMEIRA;36878000
RUBELITA;39565000
RUBIM;39950000
SABARÁ;34500001
SABINÓPOLIS;39750000
SACRAMENTO;38190000
SALINAS;39560000
SALTO DA DIVISA;39925000
SANTA BÁRBARA;35960000
SANTA BÁRBARA DO LESTE;35328000
SANTA BÁRBARA DO MONTE VERDE;36132000
SANTA BÁRBARA DO TUGÚRIO;36215000
SANTA CRUZ DE MINAS;36328000
SANTA CRUZ DE SALINAS;39563000
SANTA CRUZ DO ESCALVADO;35383000
SANTA EFIGÊNIA DE MINAS;39725000
SANTA FÉ DE MINAS;39295000
SANTA HELENA DE MINAS;39874000
SANTA JULIANA;38175000
SANTA LUZIA;33000001
SANTA MARGARIDA;36913000
SANTA MARIA DE ITABIRA;35910000
SANTA MARIA DO SALTO;39928000
SANTA MARIA DO SUAÇUÍ;39780000
SANTA RITA DE CALDAS;37775000
SANTA RITA DE JACUTINGA;36135000
SANTA RITA DE MINAS;35326000
SANTA RITA DO IBITIPOCA;36235000
SANTA RITA DO ITUETO;35225000
SANTA RITA DO SAPUCAÍ;37540000
SANTA ROSA DA SERRA;38805000
SANTA VITÓRIA;38320000
SANTANA DA VARGEM;37195000
SANTANA DE CATAGUASES;36795000
SANTANA DE PIRAPAMA;35785000
SANTANA DO DESERTO;36620000
SANTANA DO GARAMBÉU;36146000
SANTANA DO JACARÉ;37278000
SANTANA DO MANHUAÇU;36940000
SANTANA DO PARAÍSO;35179000
SANTANA DO RIACHO;35845000
SANTANA DOS MONTES;36430000
SANTO ANTÔNIO DO AMPARO;37262000
SANTO ANTÔNIO DO AVENTUREIRO;36670000
SANTO ANTÔNIO DO GRAMA;35388000
SANTO ANTÔNIO DO ITAMBÉ;39160000
SANTO ANTÔNIO DO JACINTO;39935000
SANTO ANTÔNIO DO MONTE;35560000
SANTO ANTÔNIO DO RETIRO;39538000
SANTO ANTÔNIO DO RIO ABAIXO;35880000
SANTO HIPÓLITO;39210000
SANTOS DUMONT;36240000
SÃO BENTO ABADE;37407000
SÃO BRÁS DO SUAÇUÍ;35495000
SÃO DOMINGOS DAS DORES;35335000
SÃO DOMINGOS DO PRATA;35993000
SÃO FÉLIX DE MINAS;35275000
SÃO FRANCISCO;39300000
SÃO FRANCISCO DE PAULA;35543000
SÃO FRANCISCO DE SALES;38260000
SÃO FRANCISCO DO GLÓRIA;36810000
SÃO GERALDO;36530000
SÃO GERALDO DA PIEDADE;39723000
SÃO GERALDO DO BAIXIO;35258000
SÃO GONÇALO DO ABAETÉ;38790000
SÃO GONÇALO DO PARÁ;35544000
SÃO GONÇALO DO RIO ABAIXO;35935000
SÃO GONÇALO DO RIO PRETO;39185000
SÃO GONÇALO DO SAPUCAÍ;37490000
SÃO GOTARDO;38800000
SÃO JOÃO BATISTA DO GLÓRIA;37920000
SÃO JOÃO DA LAGOA;39355000
SÃO JOÃO DA MATA;37568000
SÃO JOÃO DA PONTE;39430000
SÃO JOÃO DAS MISSÕES;39475000
SÃO JOÃO DEL REI;36300001
SÃO JOÃO DO MANHUAÇU;36918000
SÃO JOÃO DO MANTENINHA;35277000
SÃO JOÃO DO ORIENTE;35146000
SÃO JOÃO DO PACUÍ;39365000
SÃO JOÃO DO PARAÍSO;39540000
SÃO JOÃO EVANGELISTA;39704000
SÃO JOÃO NEPOMUCENO;36680000
SÃO JOAQUIM DE BICAS;32920000
SÃO JOSÉ DA BARRA;37945000
SÃO JOSÉ DA LAPA;33350000
SÃO JOSÉ DA SAFIRA;39785000
SÃO JOSÉ DA VARGINHA;35694000
SÃO JOSÉ DO ALEGRE;37510000
SÃO JOSÉ DO DIVINO;39848000
SÃO JOSÉ DO GOIABAL;35986000
SÃO JOSÉ DO JACURI;39707000
SÃO JOSÉ DO MANTIMENTO;36990000
SÃO LOURENÇO;37470000
SÃO MIGUEL DO ANTA;36590000
SÃO PEDRO DA UNIÃO;37855000
SÃO PEDRO DO SUAÇUÍ;39784000
SÃO PEDRO DOS FERROS;35360000
SÃO ROMÃO;39290000
SÃO ROQUE DE MINAS;37927000
SÃO SEBASTIÃO DA BELA VISTA;37567000
SÃO SEBASTIÃO DA VARGEM ALEGRE;36793000
SÃO SEBASTIÃO DO ANTA;35334000
SÃO SEBASTIÃO DO MARANHÃO;39795000
SÃO SEBASTIÃO DO OESTE;35567000
SÃO SEBASTIÃO DO PARAÍSO;37950000
SÃO SEBASTIÃO DO RIO PRETO;35815000
SÃO SEBASTIÃO DO RIO VERDE;37467000
SÃO THOMÉ DAS LETRAS;37408000
SÃO TIAGO;36350000
SÃO TOMÁS DE AQUINO;37960000
SÃO VICENTE DE MINAS;37370000
SAPUCAÍMIRIM;37690000
SARDOÁ;39728000
SARZEDO;32450000
SEM PEIXE;35441000
SENADOR AMARAL;37615000
SENADOR CORTES;36650000
SENADOR FIRMINO;36540000
SENADOR JOSÉ BENTO;37586000
SENADOR MODESTINO GONÇALVES;39190000
SENHORA DE OLIVEIRA;36470000
SENHORA DO PORTO;39745000
SENHORA DOS REMÉDIOS;36275000
SERICITA;35368000
SERITINGA;37454000
SERRA AZUL DE MINAS;39165000
SERRA DA SAUDADE;35617000
SERRA DO SALITRE;38760000
SERRA DOS AIMORÉS;39868000
SERRANIA;37143000
SERRANÓPOLIS DE MINAS;39518000
SERRANOS;37452000
SERRO;39150000
SETE LAGOAS;35700001
SETUBINHA;39688000
SILVEIRÂNIA;36185000
SILVIANÓPOLIS;37589000
SIMÃO PEREIRA;36123000
SIMONÉSIA;36930000
SOBRÁLIA;35144000
SOLEDADE DE MINAS;37478000
TABULEIRO;36165000
TAIOBEIRAS;39550000
TAPARUBA;36953000
TAPIRA;38185000
TAPIRAÍ;38980000
TAQUARAÇU DE MINAS;33980000
TARUMIRIM;35140000
TEIXEIRAS;36580000
TEÓFILO OTONI;39800001
TIMÓTEO;35180001
TIRADENTES;36325000
TIROS;38880000
TOCANTINS;36512000
TOCOS DO MOJI;37563000
TOLEDO;37630000
TOMBOS;36844000
TRÊS CORAÇÕES;37410000
TRÊS MARIAS;39205000
TRÊS PONTAS;37190000
TUMIRITINGA;35125000
TUPACIGUARA;38480000
TURMALINA;39660000
TURVOLÂNDIA;37496000
UBÁ;36500000
UBAÍ;39320000
UBAPORANGA;35338000
UBERABA;38000001
UBERLÂNDIA;38400001
UMBURATIBA;39878000
UNAÍ;38610000
UNIÃO DE MINAS;38288000
URUANA DE MINAS;38630000
URUCÂNIA;35380000
URUCUIA;39315000
VARGEM ALEGRE;35199000
VARGEM BONITA;37922000
VARGEM GRANDE DO RIO PARDO;39535000
VARGINHA;37000001
VARJÃO DE MINAS;38794000
VÁRZEA DA PALMA;39260000
VARZELÂNDIA;39450000
VAZANTE;38780000
VERDELÂNDIA;39458000
VEREDINHA;39663000
VERÍSSIMO;38150000
VERMELHO NOVO;35359000
VESPASIANO;33200000
VIÇOSA;36570000
VIEIRAS;36895000
VIRGEM DA LAPA;39630000
VIRGÍNIA;37465000
VIRGINÓPOLIS;39730000
VIRGOLÂNDIA;39715000
VISCONDE DO RIO BRANCO;36520000
VOLTA GRANDE;36720000
WENCESLAU BRAZ;37512000
ÁGUA CLARA;79680000
ALCINÓPOLIS;79530000
AMAMBAÍ;79990000
ANASTÁCIO;79210000
ANAURILÂNDIA;79770000
ANGÉLICA;79785000
ANTÔNIO JOÃO;79910000
APARECIDA DO TABOADO;79570000
AQUIDAUANA;79200000
ARAL MOREIRA;79930000
BANDEIRANTES;79430000
BATAGUASSU;79780000
BATAYPORÃ;79760000
BELA VISTA;79260000
BODOQUENA;79390000
BONITO;79290000
BRASILÂNDIA;79670000
CAARAPÓ;79940000
CAMAPUÃ;79420000
CAMPO GRANDE;79000001
CARACOL;79270000
CASSILÂNDIA;79540000
CHAPADÃO DO SUL;79560000
CORGUINHO;79460000
CORONEL SAPUCAIA;79995000
CORUMBÁ;79300001
COSTA RICA;79550000
COXIM;79400000
DEODÁPOLIS;79790000
DOIS IRMÃOS DO BURITI;79215000
DOURADINA;79880000
DOURADOS;79800001
ELDORADO;79970000
FÁTIMA DO SUL;79700000
FIGUEIRÃO;79428000
GLÓRIA DE DOURADOS;79730000
GUIA LOPES DA LAGUNA;79230000
IGUATEMI;79960000
INOCÊNCIA;79580000
ITAPORÃ;79890000
ITAQUIRAÍ;79965000
IVINHEMA;79740000
JAPORÃ;79985000
JARAGUARI;79440000
JARDIM;79240000
JATEÍ;79720000
JUTÍ;79955000
LADÁRIO;79370000
LAGUNA CARAPÃ;79920000
MARACAJU;79150000
MIRANDA;79380000
MUNDO NOVO;79980000
NAVIRAÍ;79950000
NIOAQUE;79220000
NOVA ALVORADA DO SUL;79140000
NOVA ANDRADINA;79750000
NOVO HORIZONTE DO SUL;79745000
PARAÍSO DAS ÁGUAS;79556000
PARANAÍBA;79500000
PARANHOS;79925000
PEDRO GOMES;79410000
PONTA PORÃ;79900001
PORTO MURTINHO;79280000
RIBAS DO RIO PARDO;79180000
RIO BRILHANTE;79130000
RIO NEGRO;79470000
RIO VERDE DE MATO GROSSO;79480000
ROCHEDO;79450000
SANTA RITA DO PARDO;79690000
SÃO GABRIEL DO OESTE;79490000
SELVÍRIA;79590000
SETE QUEDAS;79935000
SIDROLÂNDIA;79170000
SONORA;79415000
TACURU;79975000
TAQUARUSSU;79765000
TERENOS;79190000
TRÊS LAGOAS;79600001
VICENTINA;79710000
ACORIZAL;78480000
ÁGUA BOA;78635000
ALTA FLORESTA;78580000
ALTO ARAGUAIA;78780000
ALTO BOA VISTA;78665000
ALTO GARÇAS;78770000
ALTO PARAGUAI;78410000
ALTO TAQUARI;78785000
APIACÁS;78595000
ARAGUAIANA;78685000
ARAGUAINHA;78615000
ARAPUTANGA;78260000
ARENÁPOLIS;78420000
ARIPUANÃ;78325000
BARÃO DE MELGAÇO;78190000
BARRA DO BUGRES;78390000
BARRA DO GARÇAS;78600000
BOM JESUS DO ARAGUAIA;78678000
BRASNORTE;78350000
CÁCERES;78200000
CAMPINÁPOLIS;78630000
CAMPO NOVO DO PARECIS;78360000
CAMPO VERDE;78840000
CAMPOS DE JÚLIO;78307000
CANABRAVA DO NORTE;78658000
CANARANA;78640000
CARLINDA;78587000
CASTANHEIRA;78345000
CHAPADA DOS GUIMARÃES;78195000
CLÁUDIA;78540000
COCALINHO;78680000
COLÍDER;78500000
COLNIZA;78335000
COMODORO;78310000
CONFRESA;78652000
CONQUISTA D'OESTE;78254000
COTRIGUAÇU;78330000
CUIABÁ;78000001
CURVELÂNDIA;78237000
DENISE;78380000
DIAMANTINO;78400000
DOM AQUINO;78830000
FELIZ NATAL;78885000
FIGUEIRÓPOLIS D'OESTE;78290000
GAÚCHA DO NORTE;78875000
GENERAL CARNEIRO;78620000
GLÓRIA D'OESTE;78293000
GUARANTÃ DO NORTE;78520000
GUIRATINGA;78760000
INDIAVAÍ;78295000
IPIRANGA DO NORTE;78578000
ITANHANGÁ;78579000
ITAÚBA;78510000
ITIQUIRA;78790000
JACIARA;78820000
JANGADA;78490000
JAURU;78255000
JUARA;78575000
JUÍNA;78320000
JURUENA;78340000
JUSCIMEIRA;78810000
LAMBARI D'OESTE;78278000
LUCAS DO RIO VERDE;78455000
LUCIARA;78660000
MARCELÂNDIA;78535000
MATUPÁ;78525000
MIRASSOL D'OESTE;78280000
NOBRES;78460000
NORTELÂNDIA;78430000
NOSSA SENHORA DO LIVRAMENTO;78170000
NOVA BANDEIRANTES;78565000
NOVA BRASILÂNDIA;78860000
NOVA CANAÃ DO NORTE;78515000
NOVA GUARITA;78508000
NOVA LACERDA;78243000
NOVA MARILÂNDIA;78415000
NOVA MARINGÁ;78445000
NOVA MONTE VERDE;78593000
NOVA MUTUM;78450000
NOVA NAZARÉ;78638000
NOVA OLÍMPIA;78370000
NOVA SANTA HELENA;78548000
NOVA UBIRATÃ;78888000
NOVA XAVANTINA;78690000
NOVO HORIZONTE DO NORTE;78570000
NOVO MUNDO;78528000
NOVO SANTO ANTÔNIO;78674000
NOVO SÃO JOAQUIM;78625000
PARANAITÁ;78590000
PARANATINGA;78870000
PEDRA PRETA;78795000
PEIXOTO DE AZEVEDO;78530000
PLANALTO DA SERRA;78855000
POCONÉ;78175000
PONTAL DO ARAGUAIA;78698000
PONTE BRANCA;78610000
PONTES E LACERDA;78250000
PORTO ALEGRE DO NORTE;78655000
PORTO DOS GAÚCHOS;78560000
PORTO ESPERIDIÃO;78240000
PORTO ESTRELA;78398000
POXORÉU;78800000
PRIMAVERA DO LESTE;78850000
QUERÊNCIA;78643000
RESERVA DO CABAÇAL;78265000
RIBEIRÃO CASCALHEIRA;78675000
RIBEIRÃOZINHO;78613000
RIO BRANCO;78275000
RONDOLÂNDIA;78338000
RONDONÓPOLIS;78700001
ROSÁRIO OESTE;78470000
SALTO DO CÉU;78270000
SANTA CARMEM;78545000
SANTA CRUZ DO XINGU;78664000
SANTA RITA DO TRIVELATO;78453000
SANTA TEREZINHA;78650000
SANTO AFONSO;78425000
SANTO ANTÔNIO DO LESTE;78628000
SANTO ANTÔNIO DO LEVERGER;78180000
SÃO FÉLIX DO ARAGUAIA;78670000
SÃO JOSÉ DO POVO;78773000
SÃO JOSÉ DO RIO CLARO;78435000
SÃO JOSÉ DO XINGU;78663000
SÃO JOSÉ DOS QUATRO MARCOS;78285000
SÃO PEDRO DA CIPA;78835000
SAPEZAL;78365000
SERRA NOVA DOURADA;78668000
SINOP;78550001
SORRISO;78890000
TABAPORÃ;78563000
TANGARÁ DA SERRA;78300000
TAPURAH;78573000
TERRA NOVA DO NORTE;78505000
TESOURO;78775000
TORIXORÉU;78695000
UNIÃO DO SUL;78543000
VALE DE SÃO DOMINGOS;78253000
VÁRZEA GRANDE;78110001
VERA;78880000
VILA BELA DA SANTÍSSIMA TRINDADE;78245000
VILA RICA;78645000
ABAETETUBA;68440000
ABEL FIGUEIREDO;68527000
ACARÁ;68690000
AFUÁ;68890000
ÁGUA AZUL DO NORTE;68533000
ALENQUER;68200000
ALMEIRIM;68230000
ALTAMIRA;68370001
ANAJÁS;68810000
ANANINDEUA;67000001
ANAPU;68365000
AUGUSTO CORRÊA;68610000
AURORA DO PARÁ;68658000
AVEIRO;68150000
BAGRE;68475000
BAIÃO;68465000
BANNACH;68388000
BARCARENA;68445000
BELÉM;66000001
BELTERRA;68143000
BENEVIDES;68795000
BOM JESUS DO TOCANTINS;68525000
BONITO;68645000
BRAGANÇA;68600000
BRASIL NOVO;68148000
BREJO GRANDE DO ARAGUAIA;68521000
BREU BRANCO;68488000
BREVES;68800000
BUJARU;68670000
CACHOEIRA DO ARARI;68840000
CACHOEIRA DO PIRIÁ;68617000
CAMETÁ;68400000
CANAÃ DOS CARAJÁS;68537000
CAPANEMA;68700001
CAPITÃO POÇO;68650000
CASTANHAL;68740001
CHAVES;68880000
COLARES;68785000
CONCEIÇÃO DO ARAGUAIA;68540000
CONCÓRDIA DO PARÁ;68685000
CUMARU DO NORTE;68398000
CURIONÓPOLIS;68523000
CURRALINHO;68815000
CURUÁ;68210000
CURUÇÁ;68750000
DOM ELISEU;68633000
ELDORADO DOS CARAJÁS;68524000
FARO;68280000
FLORESTA DO ARAGUAIA;68543000
GARRAFÃO DO NORTE;68665000
GOIANÉSIA DO PARÁ;68639000
GURUPÁ;68300000
IGARAPÉAÇU;68725000
IGARAPÉMIRI;68430000
INHANGAPI;68770000
IPIXUNA DO PARÁ;68637000
IRITUIA;68655000
ITAITUBA;68180001
ITUPIRANGA;68580000
JACAREACANGA;68195000
JACUNDÁ;68590000
JURUTI;68170000
LIMOEIRO DO AJURU;68415000
MÃE DO RIO;68675000
MAGALHÃES BARATA;68722000
MARABÁ;68500001
MARACANÃ;68710000
MARAPANIM;68760000
MARITUBA;67200000
MEDICILÂNDIA;68145000
MELGAÇO;68490000
MOCAJUBA;68420000
MOJU;68450000
MOJUÍ DOS CAMPOS;68129000
MONTE ALEGRE;68220000
MUANÁ;68825000
NOVA ESPERANÇA DO PIRIÁ;68618000
NOVA IPIXUNA;68585000
NOVA TIMBOTEUA;68730000
NOVO PROGRESSO;68193000
NOVO REPARTIMENTO;68473000
ÓBIDOS;68250000
OEIRAS DO PARÁ;68470000
ORIXIMINÁ;68270000
OURÉM;68640000
OURILÂNDIA DO NORTE;68390000
PACAJÁ;68485000
PALESTINA DO PARÁ;68535000
PARAGOMINAS;68625001
PARAUAPEBAS;68515000
PAU D'ARCO;68545000
PEIXEBOI;68734000
PIÇARRA;68575000
PLACAS;68138000
PONTA DE PEDRAS;68830000
PORTEL;68480000
PORTO DE MOZ;68330000
PRAINHA;68130000
PRIMAVERA;68707000
QUATIPURU;68709000
REDENÇÃO;68549001
RIO MARIA;68530000
RONDON DO PARÁ;68638000
RURÓPOLIS;68165000
SALINÓPOLIS;68721000
SALVATERRA;68860000
SANTA BÁRBARA DO PARÁ;68798000
SANTA CRUZ DO ARARI;68850000
SANTA ISABEL DO PARÁ;68790000
SANTA LUZIA DO PARÁ;68644000
SANTA MARIA DAS BARREIRAS;68565000
SANTA MARIA DO PARÁ;68738000
SANTANA DO ARAGUAIA;68560000
SANTARÉM;68000001
SANTARÉM NOVO;68720000
SANTO ANTÔNIO DO TAUÁ;68786000
SÃO CAETANO DE ODIVELAS;68775000
SÃO DOMINGOS DO ARAGUAIA;68520000
SÃO DOMINGOS DO CAPIM;68635000
SÃO FÉLIX DO XINGU;68380000
SÃO FRANCISCO DO PARÁ;68748000
SÃO GERALDO DO ARAGUAIA;68570000
SÃO JOÃO DA PONTA;68774000
SÃO JOÃO DE PIRABAS;68719000
SÃO JOÃO DO ARAGUAIA;68518000
SÃO MIGUEL DO GUAMÁ;68660000
SÃO SEBASTIÃO DA BOA VISTA;68820000
SAPUCAIA;68548000
SENADOR JOSÉ PORFÍRIO;68360000
SOURE;68870000
TAILÂNDIA;68695000
TERRA ALTA;68773000
TERRA SANTA;68285000
TOMÉAÇÚ;68680000
TRACUATEUA;68647000
TRAIRÃO;68198000
TUCUMÃ;68385000
TUCURUÍ;68455001
ULIANÓPOLIS;68632000
URUARÁ;68140000
VIGIA;68780000
VISEU;68620000
VITÓRIA DO XINGU;68383000
XINGUARA;68555001
ÁGUA BRANCA;58748000
AGUIAR;58778000
ALAGOA GRANDE;58388000
ALAGOA NOVA;58125000
ALAGOINHA;58390000
ALCANTIL;58460000
ALGODÃO DE JANDAÍRA;58399000
ALHANDRA;58320000
AMPARO;58548000
APARECIDA;58823000
ARAÇAGI;58270000
ARARA;58396000
ARARUNA;58233000
AREIA;58397000
AREIA DE BARAÚNAS;58732000
AREIAL;58140000
AROEIRAS;58489000
ASSUNÇÃO;58685000
BAÍA DA TRAIÇÃO;58295000
BANANEIRAS;58220000
BARAÚNA;58188000
BARRA DE SANTA ROSA;58170000
BARRA DE SANTANA;58458000
BARRA DE SÃO MIGUEL;58483000
BAYEUX;58305001
BELÉM;58255000
BELÉM DO BREJO DO CRUZ;58895000
BERNARDINO BATISTA;58922000
BOA VENTURA;58993000
BOA VISTA;58123000
BOM JESUS;58930000
BOM SUCESSO;58887000
BONITO DE SANTA FÉ;58960000
BOQUEIRÃO;58450000
BORBOREMA;58394000
BREJO DO CRUZ;58890000
BREJO DOS SANTOS;58880000
CAAPORÃ;58326000
CABACEIRAS;58480000
CABEDELO;58100001
CACHOEIRA DOS ÍNDIOS;58935000
CACIMBA DE AREIA;58730000
CACIMBA DE DENTRO;58230000
CACIMBAS;58698000
CAIÇARA;58253000
CAJAZEIRAS;58900000
CAJAZEIRINHAS;58855000
CALDAS BRANDÃO;58350000
CAMALAÚ;58530000
CAMPINA GRANDE;58400001
CAPIM;58287000
CARAÚBAS;58595000
CARRAPATEIRA;58945000
CASSERENGUE;58238000
CATINGUEIRA;58715000
CATOLÉ DO ROCHA;58884000
CATURITÉ;58455000
CONCEIÇÃO;58970000
CONDADO;58714000
CONDE;58322000
CONGO;58535000
COREMAS;58770000
COXIXOLA;58588000
CRUZ DO ESPÍRITO SANTO;58337000
CUBATI;58167000
CUITÉ;58175000
CUITÉ DE MAMANGUAPE;58289000
CUITEGI;58208000
CURRAL DE CIMA;58291000
CURRAL VELHO;58990000
DAMIÃO;58173000
DESTERRO;58695000
DIAMANTE;58994000
DONA INÊS;58228000
DUAS ESTRADAS;58265000
EMAS;58763000
ESPERANÇA;58135000
FAGUNDES;58487000
FREI MARTINHO;58195000
GADO BRAVO;58492000
GUARABIRA;58200000
GURINHÉM;58356000
GURJÃO;58670000
IBIARA;58980000
IGARACY;58775000
IMACULADA;58745000
INGÁ;58380000
ITABAIANA;58360000
ITAPORANGA;58780000
ITAPOROROCA;58275000
ITATUBA;58378000
JACARAÚ;58278000
JERICÓ;58830000
JOÃO PESSOA;58000001
JOCA CLAUDINO;58928000
JUAREZ TÁVORA;58387000
JUAZEIRINHO;58660000
JUNCO DO SERIDÓ;58640000
JURIPIRANGA;58330000
JURU;58750000
LAGOA;58835000
LAGOA DE DENTRO;58250000
LAGOA SECA;58117000
LASTRO;58820000
LIVRAMENTO;58690000
LOGRADOURO;58254000
LUCENA;58315000
MÃE D'ÁGUA;58740000
MALTA;58713000
MAMANGUAPE;58280000
MANAÍRA;58995000
MARCAÇÃO;58294000
MARI;58345000
MARIZÓPOLIS;58819000
MASSARANDUBA;58120000
MATARACA;58292000
MATINHAS;58128000
MATO GROSSO;58832000
MATURÉIA;58737000
MOGEIRO;58375000
MONTADAS;58145000
MONTE HOREBE;58950000
MONTEIRO;58500000
MULUNGU;58354000
NATUBA;58494000
NAZAREZINHO;58817000
NOVA FLORESTA;58178000
NOVA OLINDA;58798000
NOVA PALMEIRA;58184000
OLHO D'ÁGUA;58760000
OLIVEDOS;58160000
OURO VELHO;58560000
PARARI;58575000
PASSAGEM;58734000
PATOS;58700001
PAULISTA;58860000
PEDRA BRANCA;58790000
PEDRA LAVRADA;58180000
PEDRAS DE FOGO;58328000
PEDRO RÉGIS;58273000
PIANCÓ;58765000
PICUÍ;58187000
PILAR;58338000
PILÕES;58393000
PILÕEZINHOS;58210000
PIRPIRITUBA;58213000
PITIMBU;58324000
POCINHOS;58150000
POÇO DANTAS;58933000
POÇO DE JOSÉ DE MOURA;58908000
POMBAL;58840000
PRATA;58550000
PRINCESA ISABEL;58755000
PUXINANÃ;58115000
QUEIMADAS;58470000
QUIXABÁ;58733000
REMÍGIO;58398000
RIACHÃO;58235000
RIACHÃO DO BACAMARTE;58382000
RIACHÃO DO POÇO;58348000
RIACHO DE SANTO ANTÔNIO;58465000
RIACHO DOS CAVALOS;58870000
RIO TINTO;58297000
SALGADINHO;58650000
SALGADO DE SÃO FÉLIX;58370000
SANTA CECÍLIA;58463000
SANTA CRUZ;58824000
SANTA HELENA;58925000
SANTA INÊS;58978000
SANTA LUZIA;58600000
SANTA RITA;58300001
SANTA TERESINHA;58720000
SANTANA DE MANGUEIRA;58985000
SANTANA DOS GARROTES;58795000
SANTO ANDRÉ;58675000
SÃO BENTINHO;58857000
SÃO BENTO;58865000
SÃO DOMINGOS;58853000
SÃO DOMINGOS DO CARIRI;58485000
SÃO FRANCISCO;58818000
SÃO JOÃO DO CARIRI;58590000
SÃO JOÃO DO RIO DO PEIXE;58910000
SÃO JOÃO DO TIGRE;58520000
SÃO JOSÉ DA LAGOA TAPADA;58815000
SÃO JOSÉ DE CAIANA;58784000
SÃO JOSÉ DE ESPINHARAS;58723000
SÃO JOSÉ DE PIRANHAS;58940000
SÃO JOSÉ DE PRINCESA;58758000
SÃO JOSÉ DO BONFIM;58725000
SÃO JOSÉ DO BREJO DO CRUZ;58893000
SÃO JOSÉ DO SABUGI;58610000
SÃO JOSÉ DOS CORDEIROS;58570000
SÃO JOSÉ DOS RAMOS;58339000
SÃO MAMEDE;58625000
SÃO MIGUEL DE TAIPU;58334000
SÃO SEBASTIÃO DE LAGOA DE ROÇA;58119000
SÃO SEBASTIÃO DO UMBUZEIRO;58510000
SÃO VICENTE DO SERIDÓ;58158000
SAPÉ;58340000
SERRA BRANCA;58580000
SERRA DA RAIZ;58260000
SERRA GRANDE;58955000
SERRA REDONDA;58385000
SERRARIA;58395000
SERTÃOZINHO;58268000
SOBRADO;58342000
SOLÂNEA;58225000
SOLEDADE;58155000
SOSSEGO;58177000
SOUSA;58800001
SUMÉ;58540000
TACIMA;58240000
TAPEROÁ;58680000
TAVARES;58753000
TEIXEIRA;58735000
TENÓRIO;58665000
TRIUNFO;58920000
UIRAÚNA;58915000
UMBUZEIRO;58497000
VÁRZEA;58620000
VIEIRÓPOLIS;58822000
VISTA SERRANA;58710000
ZABELÊ;58515000
ABREU E LIMA;53500001
AFOGADOS DA INGAZEIRA;56800000
AFRÂNIO;56360000
AGRESTINA;55495000
ÁGUA PRETA;55550000
ÁGUAS BELAS;55340000
ALAGOINHA;55260000
ALIANÇA;55890000
ALTINHO;55490000
AMARAJI;55515000
ANGELIM;55430000
ARAÇOIABA;53690000
ARARIPINA;56280000
ARCOVERDE;56500001
BARRA DE GUABIRABA;55690000
BARREIROS;55560000
BELÉM DE MARIA;55440000
BELÉM DO SÃO FRANCISCO;56440000
BELO JARDIM;55150001
BETÂNIA;56670000
BEZERROS;55660000
BODOCÓ;56220000
BOM CONSELHO;55330000
BOM JARDIM;55730000
BONITO;55680000
BREJÃO;55325000
BREJINHO;56740000
BREJO DA MADRE DE DEUS;55170000
BUENOS AIRES;55845000
